$0;1693267379771780700;1.15-SNAPSHOT;KIEKER;fa370bf86134;1;false;0;NANOSECONDS;0
$1;1693267383329770700;public void tools.descartes.teastore.image.setup.SetupController.startup();<no-session-id>;9207609438158979073;1693267381887146900;1693267383329337500;fa370bf86134;0;0
$1;1693267408444644500;public tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.storage.DriveStorage.loadData(long);<no-session-id>;3515481721627738113;1693267408444305100;1693267408444629400;fa370bf86134;15;5
$1;1693267408444838800;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738113;1693267408443096900;1693267408444833600;fa370bf86134;14;4
$1;1693267408485770500;private tools.descartes.teastore.image.StoreImage tools.descartes.teastore.image.ImageProvider.scaleAndRegisterImg(java.awt.image.BufferedImage, tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738113;1693267408473782700;1693267408485747300;fa370bf86134;16;4
$1;1693267408486141400;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738113;1693267408442456900;1693267408486135500;fa370bf86134;13;3
$1;1693267408486495500;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getWebUIImages(java.util.HashMap);<no-session-id>;3515481721627738113;1693267408440872600;1693267408486489000;fa370bf86134;12;2
$1;1693267412842519400;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;3515481721627738114;1693267412842501000;1693267412842504800;fa370bf86134;12;5
$1;1693267412842577500;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;3515481721627738114;1693267412842572100;1693267412842572800;fa370bf86134;13;5
$1;1693267412842589000;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738114;1693267412842414100;1693267412842586500;fa370bf86134;11;4
$1;1693267412842614400;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738114;1693267412842363000;1693267412842611900;fa370bf86134;10;3
$1;1693267412842630500;public jakarta.ws.rs.core.Response tools.descartes.teastore.image.rest.ImageProviderEndpoint.getWebUIImages(java.util.HashMap);<no-session-id>;3515481721627738114;1693267412842297000;1693267412842627900;fa370bf86134;9;2
$1;1693267415219437500;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;3515481721627738116;1693267415219422600;1693267415219423400;fa370bf86134;18;5
$1;1693267415219479100;protected java.util.Collection tools.descartes.teastore.image.cache.AbstractCache.getEntries();<no-session-id>;3515481721627738116;1693267415219475000;1693267415219475600;fa370bf86134;19;5
$1;1693267415219486700;public tools.descartes.teastore.image.cache.entry.ICachable tools.descartes.teastore.image.cache.AbstractCache.loadData(long);<no-session-id>;3515481721627738116;1693267415219400200;1693267415219484300;fa370bf86134;17;4
$1;1693267415219505800;private java.lang.String tools.descartes.teastore.image.ImageProvider.getImageFor(tools.descartes.teastore.image.ImageDBKey, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738116;1693267415219371400;1693267415219503500;fa370bf86134;16;3
