$0;1693267380958319100;1.15-SNAPSHOT;KIEKER;2ed1fec085f3;1;false;0;NANOSECONDS;0
$1;1693267382857939900;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;9207609438158979073;1693267382857654600;1693267382857666800;2ed1fec085f3;2;2
$1;1693267382857999700;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;9207609438158979073;1693267382857994100;1693267382857995200;2ed1fec085f3;3;2
$1;1693267382858009800;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;9207609438158979073;1693267382858006500;1693267382858007200;2ed1fec085f3;4;2
$1;1693267382858017300;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;9207609438158979073;1693267382858014600;1693267382858015100;2ed1fec085f3;5;2
$1;1693267382858023900;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;9207609438158979073;1693267382858021400;1693267382858021900;2ed1fec085f3;6;2
$1;1693267382858027800;protected java.util.List tools.descartes.teastore.persistence.rest.CategoryEndpoint.listAllEntities(int, int);<no-session-id>;9207609438158979073;1693267382853896300;1693267382858025800;2ed1fec085f3;1;1
$1;1693267383115882600;public java.util.List tools.descartes.teastore.persistence.domain.ProductRepository.getAllEntities(long, int, int);<no-session-id>;9207609438158979073;1693267383089456900;1693267383115844100;2ed1fec085f3;8;2
$1;1693267383116065800;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;9207609438158979073;1693267383116046200;1693267383116060100;2ed1fec085f3;9;2
$1;1693267383116089700;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;9207609438158979073;1693267383116085100;1693267383116086400;2ed1fec085f3;10;2
$1;1693267383116109500;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;9207609438158979073;1693267383116105600;1693267383116106400;2ed1fec085f3;11;2
$1;1693267383116117700;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;9207609438158979073;1693267383116114400;1693267383116115100;2ed1fec085f3;12;2
$1;1693267383116126400;public long tools.descartes.teastore.persistence.domain.PersistenceProduct.getId();<no-session-id>;9207609438158979073;1693267383116123000;1693267383116123600;2ed1fec085f3;13;2
$1;1693267383116133800;public long tools.descartes.teastore.persistence.domain.PersistenceCategory.getId();<no-session-id>;9207609438158979073;1693267383116130700;1693267383116131300;2ed1fec085f3;14;2
