$0;1693267380956926600;1.15-SNAPSHOT;KIEKER;0f47e88d2f3b;1;false;0;NANOSECONDS;0
$1;1693267408040198100;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3515481721627738113;1693267407673328000;1693267408040004400;0f47e88d2f3b;1;1
$1;1693267408275029200;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3515481721627738113;1693267408051363900;1693267408275011600;0f47e88d2f3b;8;1
$1;1693267408508753700;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738113;1693267408323064900;1693267408508738700;0f47e88d2f3b;11;1
$1;1693267408953304300;protected void tools.descartes.teastore.webui.servlet.IndexServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3515481721627738113;1693267407658573100;1693267408953286800;0f47e88d2f3b;0;0
$1;1693267412837311700;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3515481721627738114;1693267412831212200;1693267412837294200;0f47e88d2f3b;1;1
$1;1693267412845225000;public static java.util.HashMap tools.descartes.teastore.registryclient.rest.LoadBalancedImageOperations.getWebImages(java.util.List, tools.descartes.teastore.entities.ImageSize);<no-session-id>;3515481721627738114;1693267412837389100;1693267412845211100;0f47e88d2f3b;8;1
$1;1693267412851467000;public static boolean tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.isLoggedIn(tools.descartes.teastore.entities.message.SessionBlob);<no-session-id>;3515481721627738114;1693267412845285600;1693267412851455400;0f47e88d2f3b;14;1
$1;1693267413188928000;protected void tools.descartes.teastore.webui.servlet.LoginServlet.handleGETRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3515481721627738114;1693267412831098300;1693267413188909700;0f47e88d2f3b;0;0
$1;1693267415182076400;public static tools.descartes.teastore.entities.message.SessionBlob tools.descartes.teastore.registryclient.rest.LoadBalancedStoreOperations.login(tools.descartes.teastore.entities.message.SessionBlob, java.lang.String, java.lang.String);<no-session-id>;3515481721627738115;1693267414772257700;1693267415182059800;0f47e88d2f3b;1;1
$1;1693267415184425700;protected void tools.descartes.teastore.webui.servlet.LoginActionServlet.handlePOSTRequest(jakarta.servlet.http.HttpServletRequest, jakarta.servlet.http.HttpServletResponse);<no-session-id>;3515481721627738115;1693267414771503900;1693267415184417400;0f47e88d2f3b;0;0
$1;1693267415203760400;public static java.util.List tools.descartes.teastore.registryclient.rest.LoadBalancedCRUDOperations.getEntities(tools.descartes.teastore.registryclient.Service, java.lang.String, java.lang.Class, int, int);<no-session-id>;3515481721627738116;1693267415197679000;1693267415203743800;0f47e88d2f3b;1;1
